observation_strategy,method,sparsity,covariance_frobenius_error_mean,covariance_frobenius_error_std,n_runs
deep,block_gibbs,0.5,4.746909724318818,5.66189778480598,120
deep,rw_mh,0.5,28.86292822024794,18.854899820289205,120
deep,single_site_gibbs,0.5,5.224122195826558,5.183146600015132,120
shallow,block_gibbs,0.5,22.803080817837163,28.659021704642775,120
shallow,rw_mh,0.5,76.27094080376864,57.423604721599474,120
shallow,single_site_gibbs,0.5,23.498955912723268,26.10458135331778,120
uniform,block_gibbs,0.5,11.05875907895294,13.612047188771674,120
uniform,rw_mh,0.5,46.59527696794821,31.865757348120603,120
uniform,single_site_gibbs,0.5,9.983909845910299,9.306753718339161,120
